date,habit
2024-11-27,"Cold shower 1m or more"
2024-11-27,"Meditation for 5m or more"
2024-11-27,"German for 5m or more"
2024-11-27,"Flashcards for 5m or more"
2024-11-27,"Books for 5m or more"
2024-11-27,"Free Learning or MarketWatch"
2024-11-27,"Certified training for 15m or more"
2024-11-27,"Screens & Social under 1h"
2024-11-27,"Was I kind (4 agreements)?"
2024-11-27,"Proteins above 150g"
2024-11-27,"Bed time routine (self-care & massage)"
2024-11-27,"Breathwork for 5m or more"
2024-11-28,"Morning Self-Care & Cleaning routine"
2024-11-28,"Yoga, Stretching or Core 10m or more"
2024-11-28,"Workout 15m or more"
2024-11-28,"Cold shower 1m or more"
2024-11-28,"Meditation for 5m or more"
2024-11-28,"German for 5m or more"
2024-11-28,"Flashcards for 5m or more"
2024-11-28,"Books for 5m or more"
2024-11-28,"Breathwork for 5m or more"
2024-11-28,"Free Learning or MarketWatch"
2024-11-28,"Screens & Social under 1h"
2024-11-28,"Was I kind (4 agreements)?"
2024-11-28,"No addictive products (alcohol or else)"
2024-11-28,"Proteins above 150g"
2024-11-29,"Morning Self-Care & Cleaning routine"
2024-11-29,"Yoga, Stretching or Core 10m or more"
2024-11-29,"Cold shower 1m or more"
2024-11-29,"Meditation for 5m or more"
2024-11-29,"German for 5m or more"
2024-11-29,"Flashcards for 5m or more"
2024-11-29,"Books for 5m or more"
2024-11-29,"Free Learning or MarketWatch"
2024-11-29,"Certified training for 15m or more"
2024-11-29,"Was I kind (4 agreements)?"
2024-11-29,"Proteins above 150g"
2024-11-29,"Bed time routine (self-care & massage)"
2024-11-30,"Slept 7h or more"
2024-11-30,"Morning Self-Care & Cleaning routine"
2024-11-30,"Yoga, Stretching or Core 10m or more"
2024-11-30,"Cold shower 1m or more"
2024-11-30,"Meditation for 5m or more"
2024-11-30,"German for 5m or more"
2024-11-30,"Books for 5m or more"
2024-11-30,"Free Learning or MarketWatch"
2024-11-30,"Certified training for 15m or more"
2024-11-30,"Screens & Social under 1h"
2024-11-30,"Was I kind (4 agreements)?"
2024-11-30,"Proteins above 150g"
2024-11-30,"Bed time routine (self-care & massage)"
2024-12-01,"Slept 7h or more"
2024-12-01,"Morning Self-Care & Cleaning routine"
2024-12-01,"Yoga, Stretching or Core 10m or more"
2024-12-01,"Cold shower 1m or more"
2024-12-01,"Meditation for 5m or more"
2024-12-01,"German for 5m or more"
2024-12-01,"Free Learning or MarketWatch"
2024-12-01,"Certified training for 15m or more"
2024-12-01,"Screens & Social under 1h"
2024-12-01,"Was I kind (4 agreements)?"
2024-12-01,"Proteins above 150g"
